timestamp,size,type
0.001,0.0,frame
0.20458,1.5448297297297298,frame
0.24558000000000002,2.1726594594594593,frame
0.28758,2.847489189189189,frame
0.32958,3.550318918918919,frame
0.37058,4.229148648648648,frame
0.41258,4.932978378378378,frame
0.45458,5.671808108108107,frame
0.49558,6.391637837837837,frame
0.53758,7.085467567567566,frame
0.57958,7.740297297297296,frame
0.62058,8.413127027027025,frame
0.66258,9.073956756756756,frame
0.70458,9.674786486486486,frame
0.7455799999999999,10.252616216216216,frame
0.78758,10.886445945945947,frame
0.82958,11.532275675675677,frame
0.8705799999999999,12.556105405405408,frame
0.91258,14.109935135135139,frame
0.95458,16.06776486486487,frame
0.9955799999999999,18.627594594594598,frame
1.03758,21.208424324324326,frame
1.07958,23.959254054054053,frame
1.12058,27.097083783783784,frame
1.16258,30.16691351351351,frame
1.20458,33.13274324324324,frame
1.24558,35.811572972972975,frame
1.28758,38.276402702702704,frame
1.32958,40.92123243243243,frame
1.37058,42.17006216216217,frame
1.41258,42.8738918918919,frame
1.45458,44.689721621621636,frame
1.49558,45.38455135135136,frame
1.53758,46.027381081081096,frame
1.57958,46.80021081081083,frame
1.62058,47.385040540540565,frame
1.66258,47.96687027027029,frame
1.70458,48.54670000000003,frame
1.74558,49.12352972972976,frame
1.78758,49.70035945945949,frame
1.82958,50.27718918918922,frame
1.87058,50.85401891891895,frame
1.91258,51.43284864864869,frame
1.95458,52.01767837837842,frame
1.99558,52.59750810810815,frame
2.03758,53.17433783783788,frame
2.07958,53.74816756756761,frame
2.12058,54.32199729729735,frame
2.16258,54.89582702702708,frame
2.20458,60.572656756756814,frame
2.2455800000000004,61.16548648648654,frame
2.28758,66.33831621621627,frame
2.32958,73.330145945946,frame
2.3705800000000004,81.52697567567573,frame
2.41258,89.58980540540546,frame
2.45458,94.72163513513517,frame
2.4955800000000004,98.2654648648649,frame
2.53758,102.27529459459463,frame
2.57958,106.01212432432435,frame
2.6205800000000004,109.87295405405408,frame
2.66258,111.9817837837838,frame
2.70458,114.63261351351353,frame
2.7455800000000004,116.62344324324326,frame
2.78758,117.54927297297297,frame
2.82958,118.8501027027027,frame
2.8705800000000004,120.59893243243242,frame
2.91258,122.37576216216215,frame
2.95458,124.31859189189187,frame
2.9955800000000004,126.0634216216216,frame
3.03758,128.18225135135134,frame
3.07958,129.06408108108104,frame
3.1205800000000004,130.0919108108108,frame
3.16258,131.77774054054052,frame
3.20458,133.09657027027026,frame
3.2455800000000004,135.2424,frame
3.28758,138.03622972972974,frame
3.32958,141.46405945945946,frame
3.3705800000000004,143.5018891891892,frame
3.41258,145.57471891891896,frame
3.45458,147.53254864864869,frame
3.4955800000000004,149.46037837837844,frame
3.53758,151.51320810810816,frame
3.57958,153.4630378378379,frame
3.6205800000000004,155.42386756756764,frame
3.66258,157.0956972972974,frame
3.70458,158.94052702702712,frame
3.7455800000000004,160.70435675675688,frame
3.78758,162.4481864864866,frame
3.82958,164.31101621621636,frame
3.8705800000000004,166.2718459459461,frame
3.91258,168.17167567567583,frame
3.95458,170.15750540540557,frame
3.9955800000000004,171.5143351351353,frame
4.03758,173.11816486486504,frame
4.07958,174.48899459459477,frame
4.12058,175.71382432432452,frame
4.16258,176.97965405405427,frame
4.20458,179.809483783784,frame
4.24558,180.71831351351375,frame
4.28758,181.66514324324348,frame
4.32958,182.54397297297322,frame
4.37058,184.32280270270297,frame
4.41258,184.9666324324327,frame
4.45458,185.61846216216244,frame
4.49558,186.39529189189219,frame
4.53758,187.2641216216219,frame
4.57958,188.55795135135165,frame
4.62058,189.4067810810814,frame
4.66258,190.27061081081115,frame
4.70458,191.61144054054088,frame
4.74558,192.99627027027063,frame
4.78758,194.64210000000037,frame
4.82958,195.9989297297301,frame
4.87058,197.07075945945982,frame
4.91258,198.13658918918958,frame
4.95458,199.08641891891932,frame
4.99558,200.26124864864906,frame
5.03758,201.5430783783788,frame
5.07958,202.75690810810852,frame
5.12058,203.94773783783828,frame
5.16258,205.11156756756802,frame
5.20458,206.67339729729775,frame
5.24558,208.1362270270275,frame
5.28758,209.26005675675722,frame
5.32958,210.42188648648695,frame
5.37058,211.27471621621672,frame
5.41258,212.35954594594645,frame
5.45458,213.3933756756762,frame
5.49558,214.0042054054059,frame
5.53758,214.57803513513568,frame
5.57958,215.15186486486542,frame
5.62058,223.75069459459513,frame
5.66258,233.8245243243249,frame
5.70458,245.54935405405462,frame
5.74558,255.88618378378436,frame
5.78758,261.3700135135141,frame
5.82958,265.3568432432438,frame
5.87058,270.31467297297354,frame
5.91258,275.6445027027033,frame
5.95458,280.301332432433,frame
5.99558,285.4931621621628,frame
6.03758,287.7839918918925,frame
6.07958,289.79782162162223,frame
6.12058,290.917651351352,frame
6.16258,292.54048108108174,frame
6.20458,294.0163108108115,frame
6.24558,295.5801405405412,frame
6.28758,297.278970270271,frame
6.32958,299.25280000000066,frame
6.37058,301.0846297297304,frame
6.41258,302.00545945946016,frame
6.45458,303.3732891891899,frame
6.49558,304.54811891891967,frame
6.53758,306.0149486486494,frame
6.57958,307.6617783783791,frame
6.62058,309.6986081081089,frame
6.66258,311.6104378378386,frame
6.70458,312.7422675675683,frame
6.74558,313.80009729729807,frame
6.78758,315.1869270270278,frame
6.82958,316.7367567567576,frame
6.87058,318.3615864864873,frame
6.91258,320.14641621621706,frame
6.95458,321.81424594594677,frame
6.99558,322.60207567567653,frame
7.03758,323.90790540540627,frame
7.07958,325.284735135136,frame
7.12058,326.50556486486573,frame
7.16258,328.1403945945955,frame
7.20458,330.4342243243252,frame
7.24558,332.04805405405494,frame
7.28758,332.9198837837847,frame
7.32958,334.0757135135144,frame
